  ,School County,School Type,School ID,Total Students,White,African American,Hispanic,Asian,HI/Pac. Isl.,Am.Ind/AK,2 or More,Points Total,Points %,Percentile,Stars,Achievement Points,% Prof Math,% Prof ELA,Avg. PL Math,Avg. PL ELA,White Math %,AA Math %,Hispanic Math %,Asian Math %,2+ Math %,Special Ed. Math %,English Learner Math %,White ELA %,AA ELA %,Hispanic ELA %,Asian ELA %,2+ ELA %,Special Ed. ELA %,English Learner ELA %,4Y Grad Rate,4Y White,4Y AA,4Y Hispanic,4Y Asian,4Y 2+,4Y Special Ed.,4Y English Learner,5Y Grad Rate,5Y White,5Y AA,5Y Hispanic,5Y Asian,5Y 2+,5Y Special Ed.,5Y English Learner,Eng. Learners ELA Progress,Credit For Well-Rounded Rate,9th Grade On Track Grad Rate,Not Chronic Absent %,Access to Well Rounded Curriculum %,Math Growth Percentile (ES/MS),ELA Growth Percentile (ES/MS),FARMS Rate,FARMS Standardized,White Index,White Standardized,Black Index,Black Standardized,Asian Index,Asian Standardized,2 or more index,hispanic index,Segregation Index,Standardized
Beall Elementary 2,Allegany County,Elementary,2801,456,410,0,0,0,0,0,25,59.5,0.79,91,5,12,52.80%,54.50%,3.3,3.3,51.6,0,0,0,0,13.3,0,52.8,0,0,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,85%,100%,75.5,71,54.82%,0.3979,0.3891,-0.7192,14.3085,-0.5655,5.7501,-0.3396,0.0115,11.7677,5.6769,-1.015471739
Bel Air Elementary,Allegany County,Elementary,702,238,219,0,0,0,0,0,12,49.3,0.66,54,4,10.8,40.80%,48.50%,3.2,3.2,40,0,0,0,0,34.6,0,47.8,0,0,0,0,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,90.60%,100%,34,51,55.04%,0.4062,0.6374,-0.7173,7.4680,-0.5729,3.0012,-0.3480,0.1329,6.1419,4.1691,-1.200518526
Cash Valley Elementary,Allegany County,Elementary,2901,274,235,0,0,0,0,0,20,63.7,0.85,97,5,13.7,66%,63.20%,3.6,3.6,63.4,0,0,0,0,36,0,61.3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,86.20%,100%,87,77,65.58%,0.8032,0.0632,-0.7234,8.5977,-0.5715,3.4551,-0.3464,1.4106,7.0710,4.5385,-1.155188451
Cresaptown Elementary,Allegany County,Elementary,701,321,296,0,0,0,0,0,15,59.3,0.79,90,5,11.8,51%,54.10%,3.2,3.3,50.7,0,0,0,0,16,0,54,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,86.10%,100%,75,69,50%,0.2163,0.9305,-0.7154,10.0724,-0.5698,4.0478,-0.3445,0.4938,8.2839,4.8814,-1.113095093
Flintstone Elementary 1,Allegany County,Elementary,301,232,214,0,0,0,0,0,15,48.7,0.65,52,4,9.6,28.30%,45.10%,2.8,3.1,29.5,0,0,0,0,10.3,0,46.7,0,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.60%,0,91.50%,97.60%,44,45,55.65%,0.4291,0.6804,-0.7170,7.2798,-0.5732,2.9255,-0.3483,0.3094,5.9871,4.1451,-1.203458201
Frost Elementary,Allegany County,Elementary,1101,225,209,0,,0,0,0,0,66.6,0.89,99,5,16.1,77.50%,83.30%,4,4,77.4,0,0,0,0,38.5,0,83.9,0,0,0,0,53.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,95.10%,100%,74,67,31.11%,-0.4953,0.8397,-0.7159,7.0601,-0.5735,2.8372,-0.3486,12.6026,5.8065,5.3987,-1.049610067
George's Creek Elementary,Allegany County,Elementary,1001,306,299,0,0,0,0,0,0,52.7,0.7,68,4,9.7,34.10%,40.50%,2.9,3,34.1,0,0,0,0,35.7,0,40.5,0,0,0,0,29.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,82.50%,100%,70,56,71.15%,1.0131,3.8900,-0.7040,9.6018,-0.5703,3.8587,-0.3451,17.1396,7.8968,6.5105,-0.9131622486
John Humbird Elementary,Allegany County,Elementary,402,275,213,25,0,0,0,0,30,52.3,0.7,67,4,10.3,40.60%,44.30%,3,3.1,42.2,30,0,0,27.3,19,0,44.6,30,0,0,45.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,75.50%,100%,71,66,91.48%,1.7789,2.9863,-0.7068,31.0589,-0.5527,3.4677,-0.3464,13.8325,7.0968,7.6448,-0.7739584957
Mt. Savage Elementary,Allegany County,Elementary,1302,198,192,0,0,0,0,0,0,51.4,0.69,63,4,10.9,39.20%,47.10%,3.2,3.4,40.2,0,0,0,0,33.3,0,48.5,0,0,0,0,41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,86.90%,100%,48,54.5,62.81%,0.6989,2.1744,-0.7096,6.2129,-0.5746,2.4968,-0.3500,11.0903,5.1097,5.2042,-1.073478132
Northeast Elementary,Allegany County,Elementary,502,319,279,10,0,0,0,0,27,59.6,0.79,91,5,11.1,49.60%,46.20%,3.2,3.1,50,0,0,0,0,33.3,0,49.6,0,0,0,0,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,87.30%,100%,81,66,59.56%,0.5764,0.0028,-0.7257,0.0000,-0.5924,4.0226,-0.3446,4.6675,8.2323,4.1140,-1.207278096
Parkside Elementary,Allegany County,Elementary,2902,224,178,13,0,0,0,0,22,59.6,0.79,91,5,12.6,57.40%,57.80%,3.4,3.5,59,0,0,0,50,30,0,59.5,0,0,0,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,84.50%,100%,79,66,55.71%,0.4314,1.5314,-0.7123,5.0729,-0.5764,2.8246,-0.3487,7.1227,5.7806,4.7257,-1.132207067
South Penn Elementary,Allegany County,Elementary,401,539,415,39,0,0,0,0,76,48.8,0.65,52,4,8.5,29.90%,33.50%,2.6,2.7,30.6,25,0,0,30.4,10.8,0,33.3,41.7,0,0,34.8,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.60%,0,79.40%,98.60%,64,54,71.66%,1.0323,6.4198,-0.6977,28.8442,-0.5541,6.7968,-0.3370,69.5099,13.9097,11.2018,-0.3374099594
West Side Elementary,Allegany County,Elementary,603,390,307,17,0,0,0,0,52,58.6,0.78,88,5,11.6,47.50%,54.10%,3.2,3.3,51,0,0,0,30.8,19.4,0,55.2,0,0,0,50,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,86.80%,100%,67,70,60.84%,0.6247,3.2067,-0.7060,1.8534,-0.5827,4.9179,-0.3419,41.6282,10.0645,7.8531,-0.7483927741
Westernport Elementary,Allegany County,Elementary,801,266,239,0,10,0,0,0,17,54.4,0.73,76,4,10.4,47.20%,39%,3.1,3,47.2,0,0,0,30,20,0,35.2,0,0,0,70,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,79.10%,100%,83,56,73.28%,1.0933,0.2167,-0.7210,8.3466,-0.5718,3.3543,-0.3468,0.2962,1.4322,3.6940,-1.258820668
Braddock Middle,Allegany County,Middle,504,590,511,20,11,0,0,0,41,42.8,0.59,55,3,10.4,40.10%,44.70%,3,3.2,41.3,11.8,40,0,28.9,4.9,0,46.2,23.5,50,0,34.2,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.40%,0,77.10%,86.40%,53,49,50.51%,0.2355,0.2000,-0.7212,0.0861,-0.5903,4.9380,-0.3419,3.2334,9.4897,4.2364,-1.192257811
Mount Savage Middle,Allegany County,Middle,1301,390,355,0,0,0,0,0,14,43.1,0.59,56,3,10.7,42.80%,45.20%,3.1,3.2,44,0,0,0,23.1,6.4,0,45.7,0,0,0,38.5,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96%,0,81.70%,85.70%,46,42,45.74%,0.0558,0.3183,-0.7199,12.3810,-0.5673,3.2641,-0.3471,2.0529,32.0691,7.0771,-0.8436261546
Washington Middle,Allegany County,Middle,406,574,489,34,0,0,0,0,41,41.5,0.57,49,3,9.3,41.40%,31.30%,2.9,2.8,42.2,20.7,50,0,44.4,16.1,0,33,13.8,30,0,22.2,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.60%,0,73.60%,83.50%,64,43,60.31%,0.6047,0.6443,-0.7172,13.6612,-0.5661,4.8040,-0.3422,3.9050,9.7380,5.7230,-1.009813458
Westmar Middle,Allegany County,Middle,802,281,272,0,0,0,0,0,0,47.6,0.65,70,4,10,35%,45.30%,2.9,3.1,34.7,0,0,0,0,13,0,44.5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.50%,0,80.10%,90.60%,62,56,66.55%,0.8398,2.2748,-0.7092,8.9206,-0.5711,2.3518,-0.3506,14.7596,77.6773,10.2949,-0.448717768
Allegany High,Allegany County,High School,606,711,607,37,14,14,0,0,37,51.4,0.64,57,4,14.4,33.30%,47%,2.4,3.2,35.8,16.7,0,0,18.2,0,0,49.6,15.4,0,0,36.4,0,0,90.78,92.62,0,0,0,0,0,0,91.55,93.5,0,0,0,0,0,0,0,86.10%,91.80%,79.30%,62.40%,0,0,37.95%,-0.2377,3.7665,-0.7044,30.4447,-0.5531,0.3988,-0.3619,0.4844,0.0249,5.9261,-0.9848795033
Fort Hill High,Allegany County,High School,405,750,646,38,12,0,0,0,46,47.9,0.6,45,3,16.7,36.80%,62.10%,2.6,3.6,39,0,0,0,0,38.5,0,66,0,0,0,0,46.2,0,82.86,85.42,0,0,0,0,0,0,82.95,85.52,0,0,0,0,0,0,0,84.50%,81.70%,71.90%,56.10%,0,0,51.21%,0.2619,4.9629,-0.7011,33.3297,-0.5513,12.4769,-0.3253,3.5956,0.7521,7.4241,-0.8010400873
Mountain Ridge High School,Allegany County,High School,2404,801,752,13,0,0,0,0,21,48.1,0.6,46,4,15.3,34.40%,54.70%,2.4,3.3,33.3,0,0,0,0,0,0,54.9,0,0,0,0,0,0,87.82,87.07,0,0,0,0,0,0,88.46,87.76,0,0,0,0,0,0,0,89.60%,91.50%,70%,59.30%,0,0,39.21%,-0.1902,22.7648,-0.6724,76.0353,-0.5303,13.3253,-0.3238,7.0407,16.4510,11.6455,-0.2829587232
Annapolis Elementary,Anne Arundel County,Elementary,4092,254,60,137,43,0,0,0,0,32.7,0.38,5,2,8,20.80%,33.70%,2.5,2.8,40.7,11.8,9.5,0,0,7.1,7.1,66.7,17.6,23.8,0,0,7.1,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.90%,0%,0,83.60%,0%,34,37,68.65%,0.9189,50.5222,-0.6460,35.1481,-0.5502,8.7092,-0.3327,16.4351,1.4578,10.5959,-0.4117747627
Arnold Elementary,Anne Arundel County,Elementary,2052,427,361,28,12,10,0,0,13,45.6,0.54,23,3,13.5,64.40%,61.50%,3.7,3.5,68,18.2,0,0,0,0,0,63,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.70%,0%,0,95.10%,0%,56.5,39.5,6.32%,-1.4292,54.7268,-0.6427,89.1357,-0.5251,1.4712,-0.3546,7.7459,38.5407,13.8427,-0.01329909481
Belle Grove Elementary,Anne Arundel County,Elementary,1082,287,127,66,49,11,0,0,33,33.7,0.4,6,2,7.3,20.50%,26.50%,2.4,2.6,24.6,18.8,13,0,7.7,0,0,32.8,18.8,13,0,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.20%,0%,0,75.10%,0%,39.5,42.5,71.53%,1.0274,8.6639,-0.6930,8.2257,-0.5720,0.1366,-0.3652,11.2121,1.8183,5.4824,-1.039341257
Belvedere Elementary,Anne Arundel County,Elementary,2062,563,414,33,60,11,0,0,40,45.8,0.54,23,3,13,58.60%,63.70%,3.5,3.5,61.5,33.3,37,0,68.4,18.2,0,67.5,40,48.1,0,68.4,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.90%,0%,0,93.20%,0%,54,47,12.06%,-1.2130,25.4753,-0.6693,123.8724,-0.5131,3.5723,-0.3461,0.3500,4.6986,12.5686,-0.1696712854
Benfield Elementary,Anne Arundel County,Elementary,2072,437,372,0,27,0,0,0,28,49.8,0.66,56,4,16.8,82%,88.30%,4,4.2,83.8,0,82.4,0,70.6,41.7,0,89.9,0,82.4,0,88.2,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,96.50%,0%,65,60.5,3.43%,-1.5381,58.4398,-0.6400,142.7837,-0.5073,14.9840,-0.3211,0.0027,19.3981,15.3495,0.1716319582
Bodkin Elementary,Anne Arundel County,Elementary,2082,580,521,0,20,0,0,0,22,40.8,0.54,24,3,13.3,55.50%,68.80%,3.4,3.7,54.1,0,0,0,58.3,4.5,0,68.9,0,0,0,58.3,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,94.90%,0%,49,49.5,8.46%,-1.3486,106.1178,-0.6100,189.5069,-0.4943,19.8872,-0.3136,6.4257,46.5939,19.1972,0.6438441822
Broadneck Elementary,Anne Arundel County,Elementary,2322,791,610,57,65,29,0,0,29,47.3,0.56,27,3,12.7,52.20%,63.60%,3.4,3.5,60.8,6.7,28.1,64.3,6.7,18.2,31.3,71.5,20,46.9,57.1,26.7,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.40%,0%,0,95.10%,0%,49,48,13.71%,-1.1508,53.4730,-0.6437,157.0194,-0.5031,0.1300,-0.3654,9.6134,19.3389,15.4782,0.1874228518
Brock Bridge Elementary,Anne Arundel County,Elementary,3062,596,56,247,238,37,0,0,16,38.6,0.45,12,3,7.7,21.30%,29.30%,2.5,2.7,33.3,25.3,13.6,41.7,0,4.3,7.9,33.3,35.6,23.9,33.3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.30%,1.30%,0,88%,2.70%,42.5,47,54.50%,0.3858,239.3649,-0.5516,14.0276,-0.5657,13.4261,-0.3237,13.2026,282.6740,23.7212,1.199067294
Brooklyn Park Elementary,Anne Arundel County,Elementary,1092,431,208,113,70,0,0,0,31,32.3,0.38,5,2,7.4,19.60%,27.50%,2.4,2.6,23.9,10.9,15.2,0,20,0,10.5,34.1,16.4,15.6,0,40,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.80%,0%,0,80%,1.50%,31,36,53.76%,0.3579,6.2934,-0.6979,5.4972,-0.5757,14.7782,-0.3214,0.3473,1.4216,5.3233,-1.058863282
Cape St. Claire Elementary,Anne Arundel County,Elementary,2092,635,494,16,68,0,0,0,46,44.7,0.53,21,3,12.5,54.90%,57%,3.5,3.4,58,0,44.1,0,53.3,8.7,10,56,0,61.8,0,63.3,8.7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.40%,0%,0,93.20%,0%,45,42,10.55%,-1.2699,45.9312,-0.6497,176.7113,-0.4977,21.7730,-0.3110,0.5873,5.1416,15.8160,0.2288741176
Central Elementary,Anne Arundel County,Elementary,4112,620,505,18,53,16,0,0,28,44.9,0.53,22,3,13.1,54.10%,65.20%,3.5,3.7,55.8,0,36.7,0,65,26.5,33.3,68,0,40,0,65,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.30%,0%,0,95.40%,0%,43,48,12.24%,-1.2062,62.3821,-0.6371,168.1758,-0.5000,1.3008,-0.3555,3.6600,13.4967,15.7802,0.2244888091
Crofton Elementary,Anne Arundel County,Elementary,3072,689,444,117,54,38,0,0,31,52.9,0.62,43,4,14.3,64.20%,73.10%,3.6,3.8,68.6,49.1,60.7,84.2,47.4,7.7,27.3,76.3,60,74.1,84.2,68.4,7.7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.30%,0%,0,95.40%,0%,54,54,7.08%,-1.4006,5.9221,-0.6988,51.9284,-0.5411,8.7473,-0.3326,4.1377,19.0973,9.4780,-0.5489658236
Crofton Meadows Elementary,Anne Arundel County,Elementary,3362,555,346,83,59,27,0,0,39,43.6,0.51,19,3,13.8,62.60%,69.40%,3.6,3.6,68.3,36.8,65.5,78.6,47.1,14.8,0,74.3,47.4,69,100,47.1,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.70%,0%,0,92.50%,0%,37,37,15.83%,-1.0710,2.3457,-0.7090,53.3282,-0.5404,3.3380,-0.3468,0.2656,4.7039,7.9988,-0.730502912
Crofton Woods Elementary,Anne Arundel County,Elementary,3082,744,548,32,60,38,0,0,64,51.8,0.61,39,4,14,62%,71%,3.6,3.7,67.8,21.1,35.1,78.9,57.1,11.1,0,74.4,42.1,61.1,68.4,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.30%,0%,0,95%,0%,61,41,5.11%,-1.4748,34.1739,-0.6603,183.3041,-0.4959,6.1147,-0.3387,5.2246,19.1502,15.7470,0.2204096752
Davidsonville Elementary,Anne Arundel County,Elementary,4122,684,578,20,43,10,0,0,32,41.3,0.55,26,3,13.8,60.60%,70.10%,3.5,3.7,62.2,54.5,38.1,0,57.1,5.3,0,72.4,45.5,57.1,0,57.1,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,95.90%,0%,43,55,5.99%,-1.4417,87.4045,-0.6207,185.2773,-0.4954,7.7170,-0.3348,3.3952,29.5381,17.7012,0.4602453698
Deale Elementary,Anne Arundel County,Elementary,4132,243,207,0,20,0,0,0,11,38.9,0.52,20,3,12.9,54.10%,63.10%,3.4,3.6,59,0,0,0,0,7.7,0,61.9,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,89.60%,0%,45.5,55,19.01%,-0.9512,32.6356,-0.6618,79.3969,-0.5289,8.3320,-0.3335,1.4189,5.9147,11.3004,-0.3253145751
Eastport Elementary,Anne Arundel County,Elementary,4142,249,31,103,105,0,0,0,0,31.3,0.37,4,2,7.9,26.80%,27.80%,2.6,2.5,60,11.4,22,0,0,0,13.8,80,17.1,14.6,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.20%,0%,0,77.30%,0%,41.5,34.5,74.90%,1.1543,87.6882,-0.6205,5.7574,-0.5753,8.5378,-0.3330,16.1116,139.4116,16.0470,0.2572318426
Edgewater Elementary,Anne Arundel County,Elementary,4152,593,386,15,138,22,0,0,31,47.6,0.56,27,3,12,50.70%,54.90%,3.4,3.4,54.4,0,30.2,78.6,66.7,20.7,14.3,57.2,0,37.1,78.6,80,10.3,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.20%,0%,0,90.20%,0%,67,46.5,31.66%,-0.4746,6.0863,-0.6984,164.9158,-0.5009,0.1367,-0.3652,1.4157,35.5217,14.4248,0.05814637023
Folger Mckinsey Elementary,Anne Arundel County,Elementary,2102,625,534,22,25,24,0,0,15,47,0.63,44,4,16,80.10%,79.70%,4,3.9,80.1,0,93.8,92.3,0,13.6,0,79.2,0,87.5,92.3,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,96.90%,0%,59,53,3.83%,-1.5231,85.4868,-0.6219,162.5802,-0.5015,0.3082,-0.3629,16.0045,45.1358,17.5930,0.4469732885
Fort Smallwood Elementary,Anne Arundel County,Elementary,2112,425,378,16,13,0,0,0,14,38.7,0.52,20,3,12.7,50.30%,64.70%,3.4,3.6,51.4,0,0,0,0,5.9,0,63.2,0,0,0,0,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,91.10%,0%,49,47.5,12.50%,-1.1964,73.5637,-0.6294,108.7064,-0.5181,14.5725,-0.3217,6.6271,36.6878,15.4970,0.189731608
Four Seasons Elementary,Anne Arundel County,Elementary,3272,683,388,105,55,54,0,0,78,45.8,0.54,23,3,13.6,60.60%,68%,3.6,3.6,61.3,39,55.2,88.2,73.5,13.6,0,66.9,56.1,71.4,88.2,75.8,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.70%,0%,0,92.90%,0%,48,42,13.06%,-1.1753,0.0440,-0.7239,62.5646,-0.5360,39.9338,-0.2902,25.8604,17.6491,12.0852,-0.2289933539
Freetown Elementary,Anne Arundel County,Elementary,1122,512,178,195,96,13,0,0,28,29.7,0.35,4,2,7.8,24.20%,27.90%,2.5,2.6,27.5,13.9,35.9,0,7.7,5.3,15,25,25,28.2,0,46.2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.80%,0%,0,79.50%,1.50%,43,27,58.82%,0.5486,45.7504,-0.6499,4.5903,-0.5771,1.1821,-0.3562,0.7941,7.9074,7.7604,-0.7597618047
George T. Cromwell Elementary,Anne Arundel County,Elementary,1112,311,183,30,61,11,0,0,25,33,0.39,6,2,9.3,35.10%,35.10%,2.8,3,43,15.8,31,0,17.6,11.8,11.8,37,21.1,41.4,0,29.4,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.90%,0%,0,79.70%,0%,44,28,42.77%,-0.0561,0.1102,-0.7225,50.4719,-0.5418,0.0106,-0.3686,1.1818,6.7478,7.6500,-0.7733166136
Georgetown East Elementary,Anne Arundel County,Elementary,4162,287,14,145,112,0,0,0,10,36.1,0.42,9,2,6.3,15.30%,17.60%,2.4,2.3,0,10.8,19.5,0,0,0,7.1,0,8.1,22,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.70%,0%,0,83%,0%,54.5,49,78.77%,1.3001,137.9740,-0.5936,27.9843,-0.5547,9.8407,-0.3303,3.9553,126.7191,17.5064,0.4363369176
Germantown Elementary,Anne Arundel County,Elementary,4182,549,92,118,325,0,0,0,0,37.9,0.45,12,2,7.8,21.90%,29.30%,2.6,2.7,57.1,12.2,14.8,0,0,0,9.3,71.4,16.3,19.4,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.90%,0%,0,89.30%,0%,47,41,72.68%,1.0707,158.0665,-0.5843,21.0019,-0.5598,18.8242,-0.3151,35.5232,793.2092,32.0410,2.220137037
Glen Burnie Park Elementary,Anne Arundel County,Elementary,3372,554,168,203,126,28,0,0,25,36.3,0.43,9,2,7.9,23.90%,29.20%,2.5,2.7,28.6,17.8,28,0,17.6,3.8,6.1,36.4,18.9,38.3,0,29.4,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.70%,0%,0,81.50%,0%,48,43,57.55%,0.5007,70.8166,-0.6313,2.6710,-0.5808,4.2682,-0.3438,3.2821,29.4814,10.5128,-0.4219684845
Glendale Elementary,Anne Arundel County,Elementary,1132,409,236,47,87,0,0,0,32,38.2,0.45,12,2,8.4,24.40%,33.90%,2.6,2.8,25,21.7,22.9,0,18.8,16.7,0,35.6,21.7,34.3,0,31.3,16.7,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.60%,0%,0,81.40%,0%,55,48.5,58.76%,0.5463,0.0058,-0.7254,56.1652,-0.5390,14.0239,-0.3226,1.1579,14.9921,9.2922,-0.5717726135
Hebron - Harman Elementary,Anne Arundel County,Elementary,3102,789,138,360,126,95,0,0,68,38.8,0.46,13,3,8.7,26.80%,39.30%,2.6,2.9,23.5,20.5,26.1,47.7,38.7,9.7,8.3,45.1,29.5,37.8,56.8,61.3,6.5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.60%,0%,0,85.60%,0%,40.5,47,42.50%,-0.0663,219.0524,-0.5592,40.5203,-0.5470,170.6526,-0.2050,5.6260,1.9877,20.9246,0.8558471836
High Point Elementary,Anne Arundel County,Elementary,2132,680,468,54,89,18,0,0,47,37.1,0.44,11,2,8.2,24.40%,29.40%,2.7,2.8,26.7,8.7,16.7,40,20.8,8,6.3,29.3,26.1,11.1,50,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.20%,0%,0,84.10%,0%,47,40.5,41.18%,-0.1160,15.4114,-0.6819,127.3050,-0.5120,1.2120,-0.3560,0.2046,0.4804,12.0255,-0.2363155876
Hillsmere Elementary,Anne Arundel County,Elementary,4192,411,231,102,48,0,0,0,23,43.2,0.51,18,3,11,41.30%,52.60%,3.1,3.2,57.4,8.2,23.1,0,0,12.5,0,73.1,14.3,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.40%,0%,0,87.60%,0%,52,62,31.41%,-0.4840,0.1051,-0.7226,7.7635,-0.5726,14.0925,-0.3225,0.4857,1.6905,4.9130,-1.109225137
Hilltop Elementary,Anne Arundel County,Elementary,1142,708,215,223,183,35,0,0,51,33.4,0.39,6,2,6.7,16.70%,22.20%,2.3,2.4,24,8.2,8.4,71.4,16.7,2.7,7.8,29.8,14.3,18.3,42.9,22.2,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.90%,0%,0,83.10%,1%,40.5,40,76.13%,1.2007,90.2195,-0.6190,0.2999,-0.5885,4.7373,-0.3424,0.5877,69.5321,12.8599,-0.1339179929
Jacobsville Elementary,Anne Arundel County,Elementary,2142,544,432,34,35,0,0,0,34,33.1,0.44,11,2,9.6,34.60%,40.20%,2.9,3,35.4,38.9,33.3,0,31.6,8.9,0,39.7,38.9,40,0,57.9,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,86.80%,0%,50.5,41,20.22%,-0.9056,45.8389,-0.6498,116.2482,-0.5156,18.6528,-0.3154,0.0409,22.6135,14.2616,0.03811604079
Jessup Elementary,Anne Arundel County,Elementary,3112,512,174,127,111,29,0,0,71,40.8,0.48,16,3,9.5,30.20%,43.30%,2.8,3.1,37.5,25.9,22.2,53.8,25.7,9.5,14.3,56.9,31,39.6,53.8,37.1,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.50%,0%,0,87.70%,0%,54,48.5,31.92%,-0.4648,48.9608,-0.6473,9.7029,-0.5702,7.4606,-0.3354,43.2915,20.9610,11.4183,-0.3108443386
Jones Elementary,Anne Arundel County,Elementary,2152,330,254,19,19,23,0,0,15,50.2,0.67,58,4,14.7,71.90%,71.30%,3.8,3.8,71.3,46.2,0,0,0,25,0,72.1,46.2,0,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,96.80%,0%,74.5,66,8.73%,-1.3385,21.9749,-0.6733,73.1710,-0.5315,12.0667,-0.3261,1.8900,16.2495,11.1961,-0.338112848
Lake Shore Elementary,Anne Arundel County,Elementary,2162,324,286,0,21,0,0,0,11,34.4,0.46,13,3,10.4,39.50%,43.70%,3.1,3.1,42.9,0,0,0,0,8.3,0,44.9,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,92.60%,0%,45,39,22.02%,-0.8378,53.7245,-0.6435,105.8625,-0.5191,11.1094,-0.3278,4.7362,13.3011,13.7380,-0.0261439188
Linthicum Elementary,Anne Arundel County,Elementary,1152,491,393,22,27,25,0,0,21,48.2,0.57,28,3,13.2,57%,64.70%,3.5,3.6,59.3,25,61.5,61.5,0,7.7,0,66.3,50,53.8,76.9,0,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80%,0%,0,90.90%,0%,51,52,18.71%,-0.9625,43.7729,-0.6516,119.4444,-0.5145,3.9594,-0.3448,3.6512,25.7020,14.0189,0.008327181774
