  ,School County,School Type,School ID,Total Students,White,African American,Hispanic,Asian,HI/Pac. Isl.,Am.Ind/AK,2 or More,Points Total,Points %,Percentile,Stars,Achievement Points,% Prof Math,% Prof ELA,Avg. PL Math,Avg. PL ELA,White Math %,AA Math %,Hispanic Math %,Asian Math %,2+ Math %,Special Ed. Math %,English Learner Math %,White ELA %,AA ELA %,Hispanic ELA %,Asian ELA %,2+ ELA %,Special Ed. ELA %,English Learner ELA %,4Y Grad Rate,4Y White,4Y AA,4Y Hispanic,4Y Asian,4Y 2+,4Y Special Ed.,4Y English Learner,5Y Grad Rate,5Y White,5Y AA,5Y Hispanic,5Y Asian,5Y 2+,5Y Special Ed.,5Y English Learner,Eng. Learners ELA Progress,Credit For Well-Rounded Rate,9th Grade On Track Grad Rate,Not Chronic Absent %,Access to Well Rounded Curriculum %,Math Growth Percentile (ES/MS),ELA Growth Percentile (ES/MS),FARMS Rate,FARMS Standardized,White Index,White Standardized,Black Index,Black Standardized,Asian Index,Asian Standardized,2 or more index,hispanic index,Segregation Index,Standardized
Glenallan Elementary,Montgomery County,Elementary,817,717,62,248,309,76,0,0,18,54.5,0.64,49,4,9.1,32.70%,34%,2.9,2.8,66.7,39.5,17.9,50,0,10.3,11.5,66.7,41.2,19.3,54.5,0,3.4,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.50%,99%,0,83.30%,100%,56,43,56.15%,0.4480,127.1089,-0.5990,73.7092,-0.5312,3.2006,-0.3473,14.5154,59.5426,16.6756,0.3343809454
Goshen Elementary,Montgomery County,Elementary,546,621,132,149,233,71,0,0,35,61.5,0.72,75,4,10.6,45.70%,41.60%,3.2,3,65.6,40.3,35.1,64.3,35,18.4,32,63.9,30.6,30.6,57.1,50,7.9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.80%,100%,0,87.20%,100%,58,62,41.41%,-0.1073,25.0083,-0.6698,4.4654,-0.5774,1.1862,-0.3562,0.1327,20.6988,7.1757,-0.8315188167
Great Seneca Creek Elementary,Montgomery County,Elementary,340,628,135,208,166,77,0,0,37,55.5,0.65,53,4,9.7,40.50%,36.10%,3,2.8,53.6,26.5,34.4,71.1,17.6,20.5,28.3,43.5,27.6,27.8,66.7,23.5,15.4,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.90%,100%,0,81.40%,100%,59,43,39.56%,-0.1770,24.2406,-0.6707,52.0753,-0.5410,0.2704,-0.3633,0.0109,0.4717,8.7789,-0.6347690764
Greencastle Elementary,Montgomery County,Elementary,334,711,24,469,147,48,0,0,22,56.5,0.66,57,4,9.3,34.20%,36.80%,2.9,2.9,8.3,35,25,69.6,27.3,7.1,29.6,27.3,38.9,26.4,56.5,27.3,10.7,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82%,99.10%,0,81.90%,100%,55,51,56.77%,0.4713,187.2431,-0.5718,738.2577,-0.3988,21.4067,-0.3115,9.9738,13.2389,31.1468,2.110389267
Greenwood Elementary,Montgomery County,Elementary,512,485,314,52,48,37,0,0,34,60.6,0.71,71,4,13.1,56.60%,63.80%,3.5,3.6,61.2,33.3,30,77.8,66.7,15.8,26.1,69.1,36.7,45,77.8,73.3,10.5,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.20%,100%,0,90.90%,100%,42,52,8.20%,-1.3584,151.7391,-0.5872,21.5141,-0.5594,10.7934,-0.3284,0.8359,56.2579,15.5287,0.1936200465
Harmony Hills Elementary,Montgomery County,Elementary,797,735,25,99,564,41,0,0,0,47.6,0.56,27,3,7,22.10%,19.20%,2.5,2.4,38.5,29.7,18.6,45,0,3.1,12.6,27.3,27,16.2,36.8,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57%,100%,0,79.10%,100%,43,45,85.05%,1.5367,193.2231,-0.5693,16.4176,-0.5635,31.2002,-0.2994,44.0553,629.2180,30.2343,1.998408809
Highland Elementary,Montgomery County,Elementary,774,583,38,65,424,38,0,0,12,62.6,0.74,79,4,10.9,41.30%,49.80%,3.2,3.2,64.3,42.9,35.1,72.7,0,12.9,27.7,85.7,50,43.6,72.7,0,12.9,37.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67%,100%,0,85.30%,100%,67,65,81.44%,1.4007,122.4293,-0.6013,23.5769,-0.5578,18.8844,-0.3151,15.0654,420.5731,24.5057,1.295347075
Highland View Elementary,Montgomery County,Elementary,784,397,140,106,122,12,0,0,16,58.2,0.68,63,4,10.3,39.80%,43.90%,3,3.1,71,28.3,16.1,0,0,25,15.5,80.6,15.2,23.6,0,0,16.7,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.80%,100%,0,90.60%,100%,43,57,44.86%,0.0227,0.7739,-0.7163,8.3521,-0.5718,30.4361,-0.3003,2.5540,1.1568,6.5782,-0.9048518694
Jackson Road Elementary,Montgomery County,Elementary,305,684,20,354,232,65,0,0,12,59.2,0.7,67,4,9.4,35.60%,36.60%,3,2.9,0,34.6,27.6,55.2,0,16.7,29.6,0,34.6,30.1,51.7,0,11.1,26.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.90%,100%,0,84.40%,100%,61,60,75.61%,1.1811,185.7155,-0.5724,337.7649,-0.4614,6.4651,-0.3378,20.5107,8.9442,23.6516,1.190531636
JoAnn Leleck at Broad Acres Elementary,Montgomery County,Elementary,304,851,0,111,706,29,0,0,0,61.4,0.72,74,4,9.2,44.50%,24.60%,3.1,2.6,0,57.6,41.8,75,0,0,35.8,0,30.3,22.1,72.7,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67%,100%,0,84%,100%,67,68,89.82%,1.7164,278.6020,-0.5378,21.4966,-0.5594,60.3077,-0.2719,51.0083,926.0581,36.5715,2.776153539
