  ,School County,School Type,School ID,Total Students,White,African American,Hispanic,Asian,HI/Pac. Isl.,Am.Ind/AK,2 or More,Points Total,Points %,Percentile,Stars,Achievement Points,% Prof Math,% Prof ELA,Avg. PL Math,Avg. PL ELA,White Math %,AA Math %,Hispanic Math %,Asian Math %,2+ Math %,Special Ed. Math %,English Learner Math %,White ELA %,AA ELA %,Hispanic ELA %,Asian ELA %,2+ ELA %,Special Ed. ELA %,English Learner ELA %,4Y Grad Rate,4Y White,4Y AA,4Y Hispanic,4Y Asian,4Y 2+,4Y Special Ed.,4Y English Learner,5Y Grad Rate,5Y White,5Y AA,5Y Hispanic,5Y Asian,5Y 2+,5Y Special Ed.,5Y English Learner,Eng. Learners ELA Progress,Credit For Well-Rounded Rate,9th Grade On Track Grad Rate,Not Chronic Absent %,Access to Well Rounded Curriculum %,Math Growth Percentile (ES/MS),ELA Growth Percentile (ES/MS),FARMS Rate,Segregation Index
Beall Elementary,Allegany County,Elementary,2801,456,410,0,0,0,0,0,25,59.5,0.79,91,5,12,52.80%,54.50%,3.3,3.3,51.6,0,0,0,0,13.3,0,52.8,0,0,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,85%,100%,75.5,71,54.82%,0.1952
Bel Air Elementary,Allegany County,Elementary,702,238,219,0,0,0,0,0,12,49.3,0.66,54,4,10.8,40.80%,48.50%,3.2,3.2,40,0,0,0,0,34.6,0,47.8,0,0,0,0,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,90.60%,100%,34,51,55.04%,0.2013
Cash Valley Elementary,Allegany County,Elementary,2901,274,235,0,0,0,0,0,20,63.7,0.85,97,5,13.7,66%,63.20%,3.6,3.6,63.4,0,0,0,0,36,0,61.3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,86.20%,100%,87,77,65.58%,0.1841
Cresaptown Elementary,Allegany County,Elementary,701,321,296,0,0,0,0,0,15,59.3,0.79,90,5,11.8,51%,54.10%,3.2,3.3,50.7,0,0,0,0,16,0,54,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,86.10%,100%,75,69,50%,0.2018
Flintstone Elementary,Allegany County,Elementary,301,232,214,0,0,0,0,0,15,48.7,0.65,52,4,9.6,28.30%,45.10%,2.8,3.1,29.5,0,0,0,0,10.3,0,46.7,0,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.60%,0,91.50%,97.60%,44,45,55.65%,0.2022
Frost Elementary,Allegany County,Elementary,1101,225,209,0,0,0,0,0,0,66.6,0.89,99,5,16.1,77.50%,83.30%,4,4,77.4,0,0,0,0,38.5,0,83.9,0,0,0,0,53.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,95.10%,100%,74,67,31.11%,0.2040
George's Creek Elementary,Allegany County,Elementary,1001,306,299,0,0,0,0,0,0,52.7,0.7,68,4,9.7,34.10%,40.50%,2.9,3,34.1,0,0,0,0,35.7,0,40.5,0,0,0,0,29.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,82.50%,100%,70,56,71.15%,0.2186
John Humbird Elementary,Allegany County,Elementary,402,275,213,25,0,0,0,0,30,52.3,0.7,67,4,10.3,40.60%,44.30%,3,3.1,42.2,30,0,0,27.3,19,0,44.6,30,0,0,45.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,75.50%,100%,71,66,91.48%,0.1424
Mt. Savage Elementary,Allegany County,Elementary,1302,198,192,0,0,0,0,0,0,51.4,0.69,63,4,10.9,39.20%,47.10%,3.2,3.4,40.2,0,0,0,0,33.3,0,48.5,0,0,0,0,41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,86.90%,100%,48,54.5,62.81%,0.2163
Northeast Elementary,Allegany County,Elementary,502,319,279,10,0,0,0,0,27,59.6,0.79,91,5,11.1,49.60%,46.20%,3.2,3.1,50,0,0,0,0,33.3,0,49.6,0,0,0,0,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,87.30%,100%,81,66,59.56%,0.1821
Parkside Elementary,Allegany County,Elementary,2902,224,178,13,0,0,0,0,22,59.6,0.79,91,5,12.6,57.40%,57.80%,3.4,3.5,59,0,0,0,50,30,0,59.5,0,0,0,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,84.50%,100%,79,66,55.71%,0.1545
South Penn Elementary,Allegany County,Elementary,401,539,415,39,0,0,0,0,76,48.8,0.65,52,4,8.5,29.90%,33.50%,2.6,2.7,30.6,25,0,0,30.4,10.8,0,33.3,41.7,0,0,34.8,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.60%,0,79.40%,98.60%,64,54,71.66%,0.1484
West Side Elementary,Allegany County,Elementary,603,390,307,17,0,0,0,0,52,58.6,0.78,88,5,11.6,47.50%,54.10%,3.2,3.3,51,0,0,0,30.8,19.4,0,55.2,0,0,0,50,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,86.80%,100%,67,70,60.84%,0.1587
Westernport Elementary,Allegany County,Elementary,801,266,239,0,10,0,0,0,17,54.4,0.73,76,4,10.4,47.20%,39%,3.1,3,47.2,0,0,0,30,20,0,35.2,0,0,0,70,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,79.10%,100%,83,56,73.28%,0.1929
Braddock Middle,Allegany County,Middle,504,590,511,20,11,0,0,0,41,42.8,0.59,55,3,10.4,40.10%,44.70%,3,3.2,41.3,11.8,40,0,28.9,4.9,0,46.2,23.5,50,0,34.2,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.40%,0,77.10%,86.40%,53,49,50.51%,0.1771
Mount Savage Middle,Allegany County,Middle,1301,390,355,0,0,0,0,0,14,43.1,0.59,56,3,10.7,42.80%,45.20%,3.1,3.2,44,0,0,0,23.1,6.4,0,45.7,0,0,0,38.5,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96%,0,81.70%,85.70%,46,42,45.74%,0.1982
Washington Middle,Allegany County,Middle,406,574,489,34,0,0,0,0,41,41.5,0.57,49,3,9.3,41.40%,31.30%,2.9,2.8,42.2,20.7,50,0,44.4,16.1,0,33,13.8,30,0,22.2,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.60%,0,73.60%,83.50%,64,43,60.31%,0.1690
Westmar Middle,Allegany County,Middle,802,281,272,0,0,0,0,0,0,47.6,0.65,70,4,10,35%,45.30%,2.9,3.1,34.7,0,0,0,0,13,0,44.5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.50%,0,80.10%,90.60%,62,56,66.55%,0.2158
Allegany High,Allegany County,High School,606,711,607,37,14,14,0,0,37,51.4,0.64,57,4,14.4,33.30%,47%,2.4,3.2,35.8,16.7,0,0,18.2,0,0,49.6,15.4,0,0,36.4,0,0,90.78,92.62,0,0,0,0,0,0,91.55,93.5,0,0,0,0,0,0,0,86.10%,91.80%,79.30%,62.40%,0,0,37.95%,0.1680
Fort Hill High,Allegany County,High School,405,750,646,38,12,0,0,0,46,47.9,0.6,45,3,16.7,36.80%,62.10%,2.6,3.6,39,0,0,0,0,38.5,0,66,0,0,0,0,46.2,0,82.86,85.42,0,0,0,0,0,0,82.95,85.52,0,0,0,0,0,0,0,84.50%,81.70%,71.90%,56.10%,0,0,51.21%,0.1720
Mountain Ridge High School,Allegany County,High School,2404,801,752,13,0,0,0,0,21,48.1,0.6,46,4,15.3,34.40%,54.70%,2.4,3.3,33.3,0,0,0,0,0,0,54.9,0,0,0,0,0,0,87.82,87.07,0,0,0,0,0,0,88.46,87.76,0,0,0,0,0,0,0,89.60%,91.50%,70%,59.30%,0,0,39.21%,0.2033
Annapolis Elementary,Anne Arundel County,Elementary,4092,254,60,137,43,0,0,0,0,32.7,0.38,5,2,8,20.80%,33.70%,2.5,2.8,40.7,11.8,9.5,0,0,7.1,7.1,66.7,17.6,23.8,0,0,7.1,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.90%,0%,0,83.60%,0%,34,37,68.65%,0.1388
Arnold Elementary,Anne Arundel County,Elementary,2052,427,361,28,12,10,0,0,13,45.6,0.54,23,3,13.5,64.40%,61.50%,3.7,3.5,68,18.2,0,0,0,0,0,63,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.70%,0%,0,95.10%,0%,56.5,39.5,6.32%,0.1616
Belle Grove Elementary,Anne Arundel County,Elementary,1082,287,127,66,49,11,0,0,33,33.7,0.4,6,2,7.3,20.50%,26.50%,2.4,2.6,24.6,18.8,13,0,7.7,0,0,32.8,18.8,13,0,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.20%,0%,0,75.10%,0%,39.5,42.5,71.53%,0.0571
Belvedere Elementary,Anne Arundel County,Elementary,2062,563,414,33,60,11,0,0,40,45.8,0.54,23,3,13,58.60%,63.70%,3.5,3.5,61.5,33.3,37,0,68.4,18.2,0,67.5,40,48.1,0,68.4,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.90%,0%,0,93.20%,0%,54,47,12.06%,0.1308
Benfield Elementary,Anne Arundel County,Elementary,2072,437,372,0,27,0,0,0,28,49.8,0.66,56,4,16.8,82%,88.30%,4,4.2,83.8,0,82.4,0,70.6,41.7,0,89.9,0,82.4,0,88.2,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,96.50%,0%,65,60.5,3.43%,0.1785
Bodkin Elementary,Anne Arundel County,Elementary,2082,580,521,0,20,0,0,0,22,40.8,0.54,24,3,13.3,55.50%,68.80%,3.4,3.7,54.1,0,0,0,58.3,4.5,0,68.9,0,0,0,58.3,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,94.90%,0%,49,49.5,8.46%,0.1926
Broadneck Elementary,Anne Arundel County,Elementary,2322,791,610,57,65,29,0,0,29,47.3,0.56,27,3,12.7,52.20%,63.60%,3.4,3.5,60.8,6.7,28.1,64.3,6.7,18.2,31.3,71.5,20,46.9,57.1,26.7,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.40%,0%,0,95.10%,0%,49,48,13.71%,0.1355
Brock Bridge Elementary,Anne Arundel County,Elementary,3062,596,56,247,238,37,0,0,16,38.6,0.45,12,3,7.7,21.30%,29.30%,2.5,2.7,33.3,25.3,13.6,41.7,0,4.3,7.9,33.3,35.6,23.9,33.3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.30%,1.30%,0,88%,2.70%,42.5,47,54.50%,0.1954
Brooklyn Park Elementary,Anne Arundel County,Elementary,1092,431,208,113,70,0,0,0,31,32.3,0.38,5,2,7.4,19.60%,27.50%,2.4,2.6,23.9,10.9,15.2,0,20,0,10.5,34.1,16.4,15.6,0,40,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.80%,0%,0,80%,1.50%,31,36,53.76%,0.0422
Cape St. Claire Elementary,Anne Arundel County,Elementary,2092,635,494,16,68,0,0,0,46,44.7,0.53,21,3,12.5,54.90%,57%,3.5,3.4,58,0,44.1,0,53.3,8.7,10,56,0,61.8,0,63.3,8.7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.40%,0%,0,93.20%,0%,45,42,10.55%,0.1519
Central Elementary,Anne Arundel County,Elementary,4112,620,505,18,53,16,0,0,28,44.9,0.53,22,3,13.1,54.10%,65.20%,3.5,3.7,55.8,0,36.7,0,65,26.5,33.3,68,0,40,0,65,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.30%,0%,0,95.40%,0%,43,48,12.24%,0.1588
Crofton Elementary,Anne Arundel County,Elementary,3072,689,444,117,54,38,0,0,31,52.9,0.62,43,4,14.3,64.20%,73.10%,3.6,3.8,68.6,49.1,60.7,84.2,47.4,7.7,27.3,76.3,60,74.1,84.2,68.4,7.7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.30%,0%,0,95.40%,0%,54,54,7.08%,0.0755
Crofton Meadows Elementary,Anne Arundel County,Elementary,3362,555,346,83,59,27,0,0,39,43.6,0.51,19,3,13.8,62.60%,69.40%,3.6,3.6,68.3,36.8,65.5,78.6,47.1,14.8,0,74.3,47.4,69,100,47.1,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.70%,0%,0,92.50%,0%,37,37,15.83%,0.0770
Crofton Woods Elementary,Anne Arundel County,Elementary,3082,744,548,32,60,38,0,0,64,51.8,0.61,39,4,14,62%,71%,3.6,3.7,67.8,21.1,35.1,78.9,57.1,11.1,0,74.4,42.1,61.1,68.4,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.30%,0%,0,95%,0%,61,41,5.11%,0.1355
Davidsonville Elementary,Anne Arundel County,Elementary,4122,684,578,20,43,10,0,0,32,41.3,0.55,26,3,13.8,60.60%,70.10%,3.5,3.7,62.2,54.5,38.1,0,57.1,5.3,0,72.4,45.5,57.1,0,57.1,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,95.90%,0%,43,55,5.99%,0.1685
Deale Elementary,Anne Arundel County,Elementary,4132,243,207,0,20,0,0,0,11,38.9,0.52,20,3,12.9,54.10%,63.10%,3.4,3.6,59,0,0,0,0,7.7,0,61.9,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,89.60%,0%,45.5,55,19.01%,0.1777
Eastport Elementary,Anne Arundel County,Elementary,4142,249,31,103,105,0,0,0,0,31.3,0.37,4,2,7.9,26.80%,27.80%,2.6,2.5,60,11.4,22,0,0,0,13.8,80,17.1,14.6,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.20%,0%,0,77.30%,0%,41.5,34.5,74.90%,0.1935
Edgewater Elementary,Anne Arundel County,Elementary,4152,593,386,15,138,22,0,0,31,47.6,0.56,27,3,12,50.70%,54.90%,3.4,3.4,54.4,0,30.2,78.6,66.7,20.7,14.3,57.2,0,37.1,78.6,80,10.3,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.20%,0%,0,90.20%,0%,67,46.5,31.66%,0.1308
Folger Mckinsey Elementary,Anne Arundel County,Elementary,2102,625,534,22,25,24,0,0,15,47,0.63,44,4,16,80.10%,79.70%,4,3.9,80.1,0,93.8,92.3,0,13.6,0,79.2,0,87.5,92.3,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,96.90%,0%,59,53,3.83%,0.1699
Fort Smallwood Elementary,Anne Arundel County,Elementary,2112,425,378,16,13,0,0,0,14,38.7,0.52,20,3,12.7,50.30%,64.70%,3.4,3.6,51.4,0,0,0,0,5.9,0,63.2,0,0,0,0,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,91.10%,0%,49,47.5,12.50%,0.1818
Four Seasons Elementary,Anne Arundel County,Elementary,3272,683,388,105,55,54,0,0,78,45.8,0.54,23,3,13.6,60.60%,68%,3.6,3.6,61.3,39,55.2,88.2,73.5,13.6,0,66.9,56.1,71.4,88.2,75.8,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.70%,0%,0,92.90%,0%,48,42,13.06%,0.0718
Freetown Elementary,Anne Arundel County,Elementary,1122,512,178,195,96,13,0,0,28,29.7,0.35,4,2,7.8,24.20%,27.90%,2.5,2.6,27.5,13.9,35.9,0,7.7,5.3,15,25,25,28.2,0,46.2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.80%,0%,0,79.50%,1.50%,43,27,58.82%,0.0749
George T. Cromwell Elementary,Anne Arundel County,Elementary,1112,311,183,30,61,11,0,0,25,33,0.39,6,2,9.3,35.10%,35.10%,2.8,3,43,15.8,31,0,17.6,11.8,11.8,37,21.1,41.4,0,29.4,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.90%,0%,0,79.70%,0%,44,28,42.77%,0.0958
Georgetown East Elementary,Anne Arundel County,Elementary,4162,287,14,145,112,0,0,0,10,36.1,0.42,9,2,6.3,15.30%,17.60%,2.4,2.3,0,10.8,19.5,0,0,0,7.1,0,8.1,22,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.70%,0%,0,83%,0%,54.5,49,78.77%,0.2182
Germantown Elementary,Anne Arundel County,Elementary,4182,549,92,118,325,0,0,0,0,37.9,0.45,12,2,7.8,21.90%,29.30%,2.6,2.7,57.1,12.2,14.8,0,0,0,9.3,71.4,16.3,19.4,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.90%,0%,0,89.30%,0%,47,41,72.68%,0.2287
Glen Burnie Park Elementary,Anne Arundel County,Elementary,3372,554,168,203,126,28,0,0,25,36.3,0.43,9,2,7.9,23.90%,29.20%,2.5,2.7,28.6,17.8,28,0,17.6,3.8,6.1,36.4,18.9,38.3,0,29.4,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.70%,0%,0,81.50%,0%,48,43,57.55%,0.0924
Glendale Elementary,Anne Arundel County,Elementary,1132,409,236,47,87,0,0,0,32,38.2,0.45,12,2,8.4,24.40%,33.90%,2.6,2.8,25,21.7,22.9,0,18.8,16.7,0,35.6,21.7,34.3,0,31.3,16.7,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.60%,0%,0,81.40%,0%,55,48.5,58.76%,0.0938
Hebron - Harman Elementary,Anne Arundel County,Elementary,3102,789,138,360,126,95,0,0,68,38.8,0.46,13,3,8.7,26.80%,39.30%,2.6,2.9,23.5,20.5,26.1,47.7,38.7,9.7,8.3,45.1,29.5,37.8,56.8,61.3,6.5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.60%,0%,0,85.60%,0%,40.5,47,42.50%,0.1414
High Point Elementary,Anne Arundel County,Elementary,2132,680,468,54,89,18,0,0,47,37.1,0.44,11,2,8.2,24.40%,29.40%,2.7,2.8,26.7,8.7,16.7,40,20.8,8,6.3,29.3,26.1,11.1,50,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.20%,0%,0,84.10%,0%,47,40.5,41.18%,0.1136
Hillsmere Elementary,Anne Arundel County,Elementary,4192,411,231,102,48,0,0,0,23,43.2,0.51,18,3,11,41.30%,52.60%,3.1,3.2,57.4,8.2,23.1,0,0,12.5,0,73.1,14.3,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.40%,0%,0,87.60%,0%,52,62,31.41%,0.0420
Hilltop Elementary,Anne Arundel County,Elementary,1142,708,215,223,183,35,0,0,51,33.4,0.39,6,2,6.7,16.70%,22.20%,2.3,2.4,24,8.2,8.4,71.4,16.7,2.7,7.8,29.8,14.3,18.3,42.9,22.2,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.90%,0%,0,83.10%,1%,40.5,40,76.13%,0.0976
Jacobsville Elementary,Anne Arundel County,Elementary,2142,544,432,34,35,0,0,0,34,33.1,0.44,11,2,9.6,34.60%,40.20%,2.9,3,35.4,38.9,33.3,0,31.6,8.9,0,39.7,38.9,40,0,57.9,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,86.80%,0%,50.5,41,20.22%,0.1472
Jessup Elementary,Anne Arundel County,Elementary,3112,512,174,127,111,29,0,0,71,40.8,0.48,16,3,9.5,30.20%,43.30%,2.8,3.1,37.5,25.9,22.2,53.8,25.7,9.5,14.3,56.9,31,39.6,53.8,37.1,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.50%,0%,0,87.70%,0%,54,48.5,31.92%,0.0894
Jones Elementary,Anne Arundel County,Elementary,2152,330,254,19,19,23,0,0,15,50.2,0.67,58,4,14.7,71.90%,71.30%,3.8,3.8,71.3,46.2,0,0,0,25,0,72.1,46.2,0,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,96.80%,0%,74.5,66,8.73%,0.1393
Lake Shore Elementary,Anne Arundel County,Elementary,2162,324,286,0,21,0,0,0,11,34.4,0.46,13,3,10.4,39.50%,43.70%,3.1,3.1,42.9,0,0,0,0,8.3,0,44.9,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,92.60%,0%,45,39,22.02%,0.1868
Linthicum Elementary,Anne Arundel County,Elementary,1152,491,393,22,27,25,0,0,21,48.2,0.57,28,3,13.2,57%,64.70%,3.5,3.6,59.3,25,61.5,61.5,0,7.7,0,66.3,50,53.8,76.9,0,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80%,0%,0,90.90%,0%,51,52,18.71%,0.1512
Lothian Elementary,Anne Arundel County,Elementary,4202,527,288,60,122,0,0,0,55,42.4,0.5,17,3,11.1,46.50%,48.70%,3.1,3.2,58.1,26.9,34.8,0,28,4,25,58.1,38.5,39.1,0,28,4,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.70%,0%,0,88.70%,0%,45,46,50.28%,0.0973
Manor View Elementary,Anne Arundel County,Elementary,3122,320,141,80,55,0,0,0,36,38.5,0.51,20,3,10.5,33.30%,51.40%,3,3.3,38.7,21.7,25,0,56.3,24,0,52.4,47.8,55,0,56.3,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,90.60%,0%,44,68,32.92%,0.0582
Marley Elementary,Anne Arundel County,Elementary,1162,846,270,231,224,54,0,0,55,38.7,0.46,13,3,7.9,25.30%,26.40%,2.7,2.7,31.3,23.5,15.7,45,21.7,6.8,6.7,30.4,30.4,15.8,40,21.7,4.5,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73%,0%,0,88.10%,0%,52.5,37.5,56.18%,0.0949
Maryland City Elementary,Anne Arundel County,Elementary,3132,419,21,172,191,0,0,0,23,34.2,0.4,7,2,8.7,26.80%,38.70%,2.6,2.9,0,31.9,17.1,0,0,0,9.8,0,43.9,29.6,0,0,0,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.80%,0%,0,87%,0%,32,35,71.81%,0.2224
Mayo Elementary,Anne Arundel County,Elementary,4212,338,273,17,27,0,0,0,16,39.2,0.52,21,3,12.7,58.90%,56.50%,3.4,3.4,61.8,58.3,35.7,0,0,0,0,57.3,50,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,95.40%,0%,54,38,10.06%,0.1531
Meade Heights Elementary,Anne Arundel County,Elementary,3142,380,78,230,38,0,0,0,27,31.8,0.42,9,2,10,38.20%,41.50%,3,3,62.5,29.6,50,0,0,5.9,0,62.5,34.6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,84.70%,2.50%,59.5,28,54.57%,0.1621
Millersville Elementary,Anne Arundel County,Elementary,3162,331,241,27,26,0,0,0,27,34,0.45,12,3,12.5,54.50%,57.10%,3.5,3.5,58.6,33.3,33.3,0,60,22.2,0,63.8,16.7,33.3,0,70,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,91.90%,0%,44,30,14.56%,0.1250
Monarch Academy Annapolis ES,Anne Arundel County,Elementary,6123,562,147,231,152,0,0,0,23,27.2,0.32,2,2,6.1,16.40%,15.50%,2.3,2.2,37.8,7.8,12.9,0,0,8.7,2.3,27,11.1,12.9,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.60%,0%,0,86.90%,0%,27,21,58.47%,0.1207
Nantucket Elementary,Anne Arundel County,Elementary,3282,791,374,208,55,102,0,0,48,41.5,0.49,16,3,12.5,53.20%,60.10%,3.4,3.5,64,37.1,46.9,62.7,38.1,20,28.6,67.4,52.6,46.9,60.8,57.1,15,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75%,0%,0,93.10%,0%,32,39,14.74%,0.0363
North Glen Elementary,Anne Arundel County,Elementary,1172,271,79,99,53,13,0,0,26,39.8,0.47,15,3,8.2,21%,33.70%,2.6,2.9,27.3,19,15.8,0,0,15.4,0,42.4,33.3,27.8,0,0,7.7,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.80%,0%,0,79.40%,0%,58,53,65.09%,0.0941
Oak Hill Elementary,Anne Arundel County,Elementary,2172,691,546,37,27,38,0,0,40,38.6,0.51,20,3,12.6,55.90%,58.90%,3.4,3.4,58.1,25,18.2,78.9,63.6,16.7,0,60.7,60,9.1,52.6,72.7,31.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,95.90%,0%,48,40,7.79%,0.1473
Oakwood Elementary,Anne Arundel County,Elementary,1182,312,145,67,54,19,0,0,24,41.8,0.49,16,3,11.6,53.40%,46.60%,3.4,3.2,59.3,41.7,42.9,90,30,0,0,52.5,50,28.6,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.70%,0%,0,86.50%,0%,64.5,30.5,42.22%,0.0502
Odenton Elementary,Anne Arundel County,Elementary,3172,487,190,141,62,23,0,0,67,33.9,0.4,7,2,9.2,27.70%,42.70%,2.7,3,37.2,12.7,33.3,0,34.5,5.6,9.1,48.7,32.9,41.7,0,55.2,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.20%,0%,0,86.40%,1.50%,30,40,34.58%,0.0613
Overlook Elementary,Anne Arundel County,Elementary,1192,375,208,70,60,16,0,0,19,41.4,0.49,16,3,9.2,29.50%,38.60%,2.8,2.9,32.2,25.7,21.4,0,0,15,6.3,41.1,37.1,25,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.30%,0%,0,86%,0%,59,33,52.39%,0.0556
Park Elementary,Anne Arundel County,Elementary,1202,479,188,109,116,15,0,0,46,32.7,0.38,5,2,9,27.20%,39.90%,2.7,3,32.3,19,28.3,0,14.3,9.5,8.3,43.8,35.7,39.1,0,33.3,14.3,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.70%,0%,0,77.50%,0%,35,40,76.86%,0.0795
Pasadena Elementary,Anne Arundel County,Elementary,2182,382,309,30,23,0,0,0,11,54.1,0.64,47,4,13.6,62.60%,65.90%,3.6,3.6,66.2,23.1,58.3,0,0,47.6,0,69,38.5,50,0,0,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70%,0%,0,96.40%,0%,76,51,17.23%,0.1473
Pershing Hill Elementary,Anne Arundel County,Elementary,3182,591,285,136,96,16,0,0,47,41,0.55,25,3,11.5,48.50%,51.30%,3.3,3.3,52.4,43.6,42.6,50,70.6,6.5,0,55.6,43.8,46.8,50,76.5,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,92.40%,0%,66,48,28.64%,0.0453
