  ,School County,School Type,School ID,Total Students,White,African American,Hispanic,Asian,HI/Pac. Isl.,Am.Ind/AK,2 or More,Points Total,Points %,Percentile,Stars,Achievement Points,% Prof Math,% Prof ELA,Avg. PL Math,Avg. PL ELA,White Math %,AA Math %,Hispanic Math %,Asian Math %,2+ Math %,Special Ed. Math %,English Learner Math %,White ELA %,AA ELA %,Hispanic ELA %,Asian ELA %,2+ ELA %,Special Ed. ELA %,English Learner ELA %,4Y Grad Rate,4Y White,4Y AA,4Y Hispanic,4Y Asian,4Y 2+,4Y Special Ed.,4Y English Learner,5Y Grad Rate,5Y White,5Y AA,5Y Hispanic,5Y Asian,5Y 2+,5Y Special Ed.,5Y English Learner,Eng. Learners ELA Progress,Credit For Well-Rounded Rate,9th Grade On Track Grad Rate,Not Chronic Absent %,Access to Well Rounded Curriculum %,Math Growth Percentile (ES/MS),ELA Growth Percentile (ES/MS),FARMS Rate,Segregation Index
Freedom District Elementary,Carroll County,Elementary,505,511,432,19,22,20,0,0,14,61.9,0.83,95,5,14.6,72.60%,69.90%,3.8,3.7,73.1,53.3,0,90.9,0,29.2,0,68.5,53.3,0,100,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.80%,0,96.20%,100%,49,74,4.49%,0.1666
Friendship Valley Elementary,Carroll County,Elementary,714,497,404,26,41,0,0,0,19,50.7,0.68,60,4,12.2,60.60%,48.40%,3.6,3.2,62.3,33.3,50,0,0,9.5,0,48.5,33.3,36.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,92.90%,100%,35,46.5,18.38%,0.1539
Hampstead Elementary,Carroll County,Elementary,804,371,325,11,14,0,0,0,11,61.1,0.81,94,5,14.6,75.90%,66.50%,3.8,3.6,76.5,0,0,0,0,41.4,0,67.3,0,0,0,0,24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,90.10%,100%,70,59,26.26%,0.1791
Linton Springs Elementary,Carroll County,Elementary,503,636,542,17,31,26,0,0,17,59.6,0.79,91,5,14.4,70.80%,69.20%,3.7,3.6,71.7,0,75,69.2,0,17.5,0,70.3,0,66.7,69.2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.90%,0,93.50%,99.20%,53,63.5,12.74%,0.1707
Manchester Elementary,Carroll County,Elementary,601,633,569,0,33,11,0,0,11,54.3,0.72,75,4,12.4,60.80%,51.20%,3.5,3.3,63.1,0,46.7,0,0,25.9,0,51.8,0,40,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.10%,0,92.20%,100%,47.5,51,22.22%,0.1912
Mechanicsville Elementary,Carroll County,Elementary,406,468,415,12,13,10,0,0,15,53,0.71,69,4,13,64.20%,55.30%,3.7,3.3,66.2,0,0,0,0,20,0,57.1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,93.70%,100%,54,31,14.26%,0.1828
Mount Airy Elementary,Carroll County,Elementary,1305,436,356,0,45,0,0,0,14,60.8,0.72,72,4,13.3,69.20%,55.80%,3.7,3.3,73.7,0,44.4,0,57.1,18.2,18.8,59.7,0,35.6,0,61.5,5.6,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80%,100%,0,91.90%,100%,46,43,14.71%,0.1678
Piney Ridge Elementary,Carroll County,Elementary,509,530,425,23,31,20,0,0,30,58,0.77,87,5,14,71%,64.20%,3.7,3.6,72.4,0,31.3,92.3,0,20.7,0,64.7,0,37.5,69.2,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,96.90%,100%,42,60,13.61%,0.1523
Robert Moton Elementary,Carroll County,Elementary,711,433,270,40,72,0,0,0,39,58.7,0.69,64,4,10.8,48.90%,43%,3.2,3,59.7,14.3,29,0,30.8,17,25,51.6,21.4,25.8,0,30.8,11.3,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,98.60%,0,83.80%,100%,65,59,60.19%,0.1022
Runnymede Elementary,Carroll County,Elementary,204,599,516,21,22,10,0,0,27,51.4,0.69,63,4,11.9,59.10%,46.90%,3.5,3.1,62.3,61.5,50,0,25,12.8,0,48.5,61.5,33.3,0,18.8,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,90.10%,100%,53,37.5,34.99%,0.1730
